drug_name,num_prescriber,total_cost
SECONAL SODIUM,11,218391
CARTEOLOL HCL,509,213585
APRACLONIDINE HCL,95,213100
NALFON,26,212978
INCONTROL PEN NEEDLE,403,212913
NITRO-BID,228,212282
AMCINONIDE,31,212070
FLOMAX,57,211179
IXEMPRA,4,210801
CATAPRES,69,210503
BLEPHAMIDE,69,209245
DOVONEX,14,209185
AVINZA,28,208750
XENICAL,31,208247
ADCETRIS,1,208202
BLINCYTO,1,206824
HUMIRA PEN CROHN'S-UC-HS,2,205783
ZESTORETIC,76,205546
TINIDAZOLE,64,205339
MIMVEY LO,140,203657
FLUCYTOSINE,1,203298
ALPRAZOLAM ODT,114,203230
AVANDIA,39,203117
NORPACE CR,33,202557
PERTZYE,10,202239
NEXIUM I.V.,20,202049
CORGARD,87,201556
TRIFLURIDINE,103,200758
ACTOPLUS MET,32,200475
M-M-R II VACCINE,55,200354
LANSOPRAZOL-AMOXICIL-CLARITHRO,24,198870
DILANTIN-125,112,197286
MOEXIPRIL-HYDROCHLOROTHIAZIDE,401,196646
DITROPAN XL,64,195981
MAPROTILINE HCL,195,195152
DOXY 100,36,194750
SPRINTEC,1068,194239
CARBAGLU,1,194235
ALPRAZOLAM XR,401,193699
LORTAB,32,192772
ACUVAIL,26,192668
DORIBAX,9,191245
ZONALON,16,190266
PRINIVIL,184,189591
ARZERRA,1,189011
SOLODYN,15,188789
MENOSTAR,80,188240
CLARINEX-D 12 HOUR,59,188126
XARTEMIS XR,42,187857
CARNITOR,42,187643
EPIVIR HBV,39,185387
EASY COMFORT INSULIN SYRINGE,216,185263
BIMATOPROST,37,183266
TRANEXAMIC ACID,55,182046
ZOFRAN ODT,7,181706
FML S.O.P.,88,181324
PRUDOXIN,33,181236
GLUCOTROL XL,180,180251
EASY-TOUCH INSULIN SYRINGE,502,178231
PREDNISOLONE,644,178072
CHLOROTHIAZIDE,392,177577
GABLOFEN,7,176972
METHYLPREDNISOLONE SOD SUCC,183,176785
TRI-SPRINTEC,1039,176601
CHORIONIC GONADOTROPIN,12,175786
ASTAGRAF XL,15,175163
KENALOG,17,172605
LEVOFLOXACIN-D5W,215,172170
ELIGARD,15,170839
CARBOPLATIN,112,169828
COMPRO,109,167060
FORTESTA,27,166964
TESTOSTERONE ENANTHATE,130,165778
FIORINAL,39,165638
PREMPHASE,98,164942
MARPLAN,25,164467
AZELEX,31,163691
GANCICLOVIR SODIUM,11,162901
ULTRAM ER,41,162828
STARLIX,55,162166
ZARONTIN,50,161173
NIACOR,476,160929
GRISEOFULVIN,49,160713
ALOCRIL,54,160381
SOOLANTRA,34,160315
PROZAC WEEKLY,57,159920
PROMETRIUM,94,159570
LOPREEZA,94,158834
ACTIGALL,20,158462
PEGASYS PROCLICK,3,158022
PRANDIMET,22,157178
CLOCORTOLONE PIVALATE,15,156175
AMBISOME,10,155654
DOXYCYCLINE IR-DR,18,154146
PROCTOFOAM-HC,73,154122
VIDAZA,2,153737
GLEOSTINE,37,153649
SEVELAMER CARBONATE,27,153596
QUDEXY XR,14,152882
PEGINTRON REDIPEN,4,152764
TOBREX,70,152277
RIMANTADINE HCL,35,152248
ACTIVELLA,58,151748
NEOMYCIN-POLYMYXIN B,117,150880
PROPRANOLOL-HYDROCHLOROTHIAZID,297,150362
RHINOCORT AQUA,69,150313
CARDURA,97,149617
JUNEL FE,567,149334
ARTHROTEC 50,41,149255
VELETRI,2,148546
TYZEKA,13,148362
ALORA,140,148201
CYCLOPENTOLATE HCL,278,147822
STROMECTOL,160,146768
GENTAK,298,144918
XANAX XR,28,144623
FOSAMAX,93,144071
NORTREL,540,143668
PEGANONE,31,143394
CATAPRES-TTS 1,48,143164
CASODEX,21,142767
DEFEROXAMINE MESYLATE,24,141755
CONZIP,25,141601
RYTHMOL,24,140992
DYAZIDE,202,140714
SF 5000 PLUS,1015,139994
LITHIUM,241,139163
CRYSELLE,497,137493
AZASAN,31,137353
UROCIT-K,41,137148
ELIXOPHYLLIN,55,137004
ISONIAZID,918,136707
DEPO-PROVERA,19,136625
XIAFLEX,2,135834
TOFRANIL-PM,9,135644
DIAMOX SEQUELS,22,135561
MECLOFENAMATE SODIUM,24,134729
SEMPREX-D,39,134347
TOFRANIL,10,134279
AZACTAM,14,133179
PACLITAXEL,69,132825
FAMVIR,10,132609
PREVNAR 13,31,132559
NECON,478,131652
SOLU-MEDROL,246,131471
LITE TOUCH,229,131331
ERGOLOID MESYLATES,18,131238
PANRETIN,2,130995
ESOMEPRAZOLE STRONTIUM,55,130973
SIGNIFOR LAR,1,129889
FEMHRT,86,129849
SULFACETAMIDE-PREDNISOLONE,170,128822
TREXALL,50,128820
ACZONE,26,128263
CLARAVIS,24,128079
OCELLA,200,127637
BENZONATATE,263,126838
NORITATE,7,124022
OXSORALEN-ULTRA,2,123876
YF-VAX,32,123700
METHENAMINE MANDELATE,107,123634
STALEVO 75,16,122116
LO LOESTRIN FE,90,121664
K-SOL,49,120864
GILDESS FE,490,120369
TRANXENE T-TAB,19,119248
MAGELLAN INSULIN SAFETY SYRNG,82,118632
EASY TOUCH ALCOHOL PREP PADS,834,118368
VFEND,3,117689
MICROGESTIN FE,453,117453
E.E.S. 400,23,116712
STRIVERDI RESPIMAT,48,115906
DALVANCE,3,114031
URSO FORTE,21,113917
ESTRADIOL VALERATE,43,112651
TREZIX,22,112382
CARDIZEM,11,112317
LIORESAL INTRATHECAL,6,111950
DIFLUCAN,9,111820
GLUCOVANCE,64,111690
WELLBUTRIN,38,110468
AMPHOTERICIN B,28,110219
SONATA,28,110000
DOXIL,3,109868
TOLMETIN SODIUM,51,109528
MILRINONE IN 5% DEXTROSE,11,109413
MACRODANTIN,26,108563
BICILLIN C-R,13,108411
FENOPROFEN CALCIUM,42,108358
GAMASTAN S-D,12,108259
PEPCID,19,107496
MIRVASO,25,107171
AMERGE,12,106466
AVYCAZ,3,106112
XYZAL,75,105535
DYSPORT,4,105381
ENJUVIA,88,105228
GASTROCROM,4,104412
EMCYT,6,103212
SURE COMFORT ALCOHOL,496,102975
TYLENOL-CODEINE NO.4,34,102947
MINASTRIN 24 FE,70,102757
GALANTAMINE HYDROBROMIDE,31,102392
CORTEF,84,102331
CETIRIZINE HCL,330,102067
DOXORUBICIN HCL LIPOSOME,2,101110
INSPRA,32,100367
CYANOCOBALAMIN INJECTION,325,99189
NARDIL,46,97736
PAREGORIC,26,97599
BACTROBAN NASAL,40,97291
APRI,398,97234
CLINIMIX E,13,97215
HALAVEN,2,97188
VEXOL,50,96960
GOLYTELY,226,96895
RECTIV,14,96837
TETANUS DIPHTHERIA TOXOIDS,128,96709
HEXALEN,5,96536
TABLOID,10,95872
ZIAC,44,95507
ACCOLATE,38,94472
LACTATED RINGERS,113,94382
VEREGEN,3,94315
TRINESSA,488,93556
STALEVO 50,11,93253
PFIZERPEN,34,93208
CLEMASTINE FUMARATE,200,92991
CYCLAFEM,338,91628
METADATE CD,22,90954
AKYNZEO,10,90833
PROTONIX IV,62,89849
TIMOPTIC-XE,35,89114
ARISTADA,3,88677
TOPICORT,14,88595
PENICILLIN G SODIUM,6,88035
CARBINOXAMINE MALEATE,126,87732
FENOGLIDE,13,87186
LOW-OGESTREL,330,86160
GIANVI,132,85936
ALDACTONE,66,85517
ERAXIS (WATER DILUENT),5,85325
COARTEM,13,85063
PENICILLIN G POTASSIUM,7,84969
TRETINOIN MICROSPHERE,17,84308
TRI-PREVIFEM,422,83727
METHYLPREDNISOLONE ACETATE,178,83512
LESCOL,42,83352
METHYCLOTHIAZIDE,136,82619
VANCOMYCIN,90,82306
DEPO-ESTRADIOL,63,82157
DENTA 5000 PLUS,639,81796
MYCOBUTIN,8,81325
NORPRAMIN,25,81278
SIRTURO,1,80555
VICTRELIS,1,80014
AUVI-Q,12,79569
XOPENEX,16,79514
NORETHINDRONE,343,78966
JUNEL,282,78654
RESCRIPTOR,17,78310
TESTOPEL,6,77778
VAQTA,35,77598
LYSODREN,9,77513
CORTISONE ACETATE,51,77054
DOBUTAMINE HCL IN DEXTROSE,25,76769
NEOMYCIN-POLYMYXIN-GRAMICIDIN,86,76652
TIAZAC,63,76398
CLINIMIX,10,76165
BCG (TICE STRAIN),10,75692
EVAMIST,40,75668
ZENZEDI,13,75516
METADATE ER,54,75473
INSUPEN,201,75257
LORYNA,115,75219
MAGELLAN INSULIN SYRINGE,58,74762
ZOMIG ZMT,7,74664
MIDAZOLAM HCL,133,73412
IRESSA,1,73263
ELESTRIN,25,72961
CLOBETASOL EMULSION,9,72547
KLOR-CON M15,133,72320
PRIMLEV,4,72309
CORTISPORIN,26,72242
TWYNSTA,31,72050
AEROSPAN,21,71991
CAFERGOT,13,71599
MATULANE,3,71306
URSO,17,71167
METROGEL,11,71070
ULTRESA,2,69799
ERYTHROCIN LACTOBIONATE,3,69795
BUTISOL SODIUM,24,69254
VANISHPOINT,41,68852
ACETIC ACID-ALUMINUM,54,68323
PRALUENT PEN,4,68067
MYOBLOC,4,67146
VIBRAMYCIN,30,67037
BLEPHAMIDE S.O.P.,36,66711
METHYLDOPA-HYDROCHLOROTHIAZIDE,81,65711
ARNUITY ELLIPTA,21,65327
TRUSOPT,53,65129
ALCOHOL SWABS,1187,65123
DUETACT,11,64786
AGRYLIN,7,64728
EPINEPHRINE,25,63749
QUILLIVANT XR,12,63469
VERELAN,19,62946
HALDOL DECANOATE 100,17,62672
CIPRO HC,18,62574
LOMOTIL,24,62216
PRAMOSONE,20,62187
SOLU-CORTEF,62,62027
TOBI,1,61771
NADOLOL-BENDROFLUMETHIAZIDE,43,60983
INDOCIN,8,60906
ALTABAX,14,60816
AMNESTEEM,17,60812
DEXTROSE 5%-0.9% NACL,129,60426
VUSION,7,60314
ADALAT CC,66,60245
MENACTRA,19,59781
BIAXIN,11,59698
DETROL,21,59587
DEMADEX,29,59490
CEFTIN,6,59184
FOSCAVIR,1,59130
MAXZIDE,45,58938
VERELAN PM,22,58715
VARIVAX VACCINE,9,58543
BACTROBAN,17,58500
AVIANE,272,58351
VASERETIC,12,58327
SAFETYGLIDE INSULIN SYRINGE,78,58123
ZARAH,87,57542
TIMOPTIC,27,57232
DERMACINRX SILAPAK,1,57005
DASETTA,221,56607
DEPACON,1,55314
LINDANE,23,55307
ADVOCATE SYRINGES,67,55212
PREPLUS,267,55042
MONONESSA,276,54692
GILDESS,196,54686
CRESEMBA,1,54549
ORSYTHIA,247,53854
PEGINTRON,2,53799
MEFLOQUINE HCL,57,53717
TYBOST,19,53135
AZACTAM-ISO-OSMOTIC DEXTROSE,8,52521
TRI-LINYAH,291,52131
LUZU,3,51944
MILLIPRED,19,51737
ERTACZO,6,51523
OLEPTRO ER,32,51429
SOLTAMOX,6,51223
MENTAX,21,51037
TIGAN,18,50923
TROPICAMIDE,86,50688
DUTOPROL,28,50478
SYNERCID,2,50457
ETIDRONATE DISODIUM,13,50349
SALICYLIC ACID,20,50214
MICROGESTIN,190,49903
LEVORA-28,204,49775
PROPANTHELINE BROMIDE,61,49540
VESTURA,78,49401
ZITHROMAX,8,49066
PHENOBARBITAL SODIUM,4,48870
SYEDA,80,47797
HALCION,23,47234
CARDURA XL,35,46936
PREDNICARBATE,30,46705
TRIGLIDE,16,46301
VANTAS,1,45810
GLUCOTROL,35,45247
PREFEST,33,45031
IOPIDINE,10,44960
SINEMET 25-250,20,44503
ULTRA-THIN II,84,44488
TENIVAC,44,44238
DAYPRO,13,44063
AZURETTE,115,43611
DUTASTERIDE-TAMSULOSIN,10,43595
ALDACTAZIDE,42,43487
DEPO-MEDROL,122,43404
CIPRO,16,43069
CYCLOSERINE,3,42866
TENORETIC 50,17,42858
APEXICON E,5,42786
PHENYLEPHRINE HCL,50,42602
DROXIA,69,42481
LOTENSIN,45,42172
KARIVA,102,42029
CLINDAMYCIN PHOS-BENZOYL PEROX,19,41941
PYRAZINAMIDE,24,41840
RECLIPSEN,179,41741
MALATHION,10,41409
METAPROTERENOL SULFATE,49,41103
EXELDERM,11,40912
ZOMETA,3,40728
ADVOCATE PEN NEEDLES,54,40542
ROBAXIN-750,11,40487
PHENOXYBENZAMINE HCL,1,40347
DIANEAL WITH 1.5% DEXTROSE,2,40340
SYNERA,4,39956
NORA-BE,153,39240
CAMILA,162,39149
ROWASA,2,39116
MENOMUNE-A-C-Y-W-135,11,39067
POTASSIUM CHL-NORMAL SALINE,21,38585
AMIFOSTINE,1,38140
MAXZIDE-25 MG,63,38120
BICNU,1,37983
HEALTHY ACCENTS UNIFINE PENTIP,89,37947
PREVIFEM,207,37771
ENPRESSE,150,37764
SODIUM CITRATE & CITRIC ACID,57,37741
K-PHOS ORIGINAL,86,37574
ASMANEX HFA,10,37568
DILATRATE-SR,18,37487
MAGNESIUM SULFATE,88,37388
MONO-LINYAH,208,37304
VOL-PLUS,147,36600
MEDROL,50,36535
NEOSPORIN G.U. IRRIGANT,15,36507
ONMEL,2,36456
PREVIDENT 5000,166,36422
LEVAQUIN,7,36363
BELLADONNA-OPIUM,4,36177
NORPACE,9,35415
OGESTREL,72,35392
MINOCIN,3,35310
ANGELIQ,23,35230
AZULFIDINE,19,35036
ZYLOPRIM,25,35010
VIORELE,94,34719
ESGIC,15,34687
CHLORPROPAMIDE,35,34321
SF,270,34268
FML,17,34151
1ST TIER UNIFINE PENTIPS,88,34150
CHLOROQUINE PHOSPHATE,45,34094
LUTERA,168,33743
CALCIUM GLUCONATE,13,33696
MEFENAMIC ACID,4,33267
LEUPROLIDE ACETATE,3,33264
COLAZAL,4,33186
ZENATANE,6,33107
LIDOCAINE-HYDROCORTISONE,10,32885
PORTIA,129,32866
AVELOX,7,32661
LOFIBRA,18,32609
QUINIDINE SULFATE,139,32591
CIPROFLOXACIN-D5W,39,32591
NP THYROID,124,32541
XODOL 10-300,4,32526
RAZADYNE ER,8,32277
ALBUMIN (HUMAN),1,32254
PROCHLORPERAZINE EDISYLATE,7,32216
FLAREX,29,32215
SECTRAL,12,32157
LEVALBUTEROL CONCENTRATE,9,31767
LIVIXIL PAK,1,31431
TRIVORA-28,128,31285
ERY,31,30408
PREVIDENT 5000 SENSITIVE,150,30261
RELION PEN NEEDLES,108,29893
CHEMET,1,29808
TRANDOLAPRIL-VERAPAMIL ER,17,29625
ALYACEN,108,29576
COLESTID,13,29197
DESFERAL MESYLATE,3,29114
NORGESTIMATE-ETHINYL ESTRADIOL,156,28738
RHEUMATREX,7,28730
CANTIL,10,28514
ALOMIDE,12,28473
BALZIVA,86,28210
METHADONE INTENSOL,41,27966
AK-POLY-BAC,73,27491
CORDARONE,13,27355
TYLENOL-CODEINE NO.3,24,27304
SALAGEN,11,27122
PREVIDENT 5000 PLUS,118,27061
NATACYN,7,26931
MINOCYCLINE HCL ER,6,26917
KELNOR 1-35,94,26917
PAPAVERINE HCL,30,26593
JOLIVETTE,115,26457
EASY TOUCH INSULIN SAFETY,30,26055
ZERIT,5,25949
PLETAL,19,25924
AMETHYST,46,25853
DESONATE,4,25746
ASSURE ID INSULIN SAFETY,40,25544
HIPREX,13,25527
PODOFILOX,22,25402
FLUMAZENIL,30,25370
VITEKTA,2,25183
CYTOTEC,4,25181
LEVONORGESTREL-ETH ESTRADIOL,123,25145
ENGERIX-B ADULT,21,24867
FOCALIN,15,24832
TAZICEF,13,24825
BEYAZ,15,24808
ELINEST,97,24722
CESAMET,1,24624
CEFEPIME-DEXTROSE,15,24607
EASY TOUCH INSULIN SYRINGE,81,24598
DOBUTAMINE HCL,13,24518
SODIUM SULFACETAMIDE-SULFUR,9,24282
REGLAN,9,24087
FALMINA,118,23970
ALBUTEIN,4,23921
BENTYL,18,23874
ERRIN,118,23756
VALPROATE SODIUM,4,23726
CLODERM,4,23476
ZOVIA 1-35E,84,23202
GRASTEK,6,23189
AVEED,2,22992
YASMIN 28,19,22837
TAPAZOLE,20,22814
RECLAST,1,22585
DIFFERIN,7,22577
YAZ,18,22440
CAPECITABINE,1,22417
VISTARIL,6,22157
TRI-LEGEST FE,36,21874
ERYGEL,5,21758
HYDREA,21,21607
QUALAQUIN,7,21586
DANTRIUM,11,21536
X-VIATE,32,21497
STRIANT,4,21446
CIPROFLOXACIN ER,10,21400
PRIMAXIN,8,21313
PRED-G,6,21307
LARIN FE,89,21049
DROSPIRENONE-ETHINYL ESTRADIOL,31,20989
LOPRESSOR,6,20926
K EFFERVESCENT,59,20838
LOCOID,2,20831
GENERESS FE,15,20679
LOCOID LIPOCREAM,2,20570
COLYTE WITH FLAVOR PACKS,26,20568
ACULAR,6,20430
NULYTELY WITH FLAVOR PACKS,18,20406
PROCTO-PAK,41,20349
TOLBUTAMIDE,24,20080
FLUCONAZOLE-NACL,28,20010
DEXTROSE 5%-0.45% NACL-KCL,38,19686
ELESTAT,7,19674
EPANED,4,19611
DEXTROSE IN LACTATED RINGERS,20,19492
ZENCHENT,57,19388
EPIDUO,6,19356
DELESTROGEN,4,19281
DENTAGEL,151,19153
MENVEO A-C-Y-W-135-DIP,6,19104
NAFCILLIN,2,19020
AMINOSYN II,13,18746
DIABETA,9,18667
RETIN-A MICRO PUMP,2,18617
NATAZIA,12,18576
PAMIDRONATE DISODIUM,21,18545
DORYX,2,18471
DEXPAK,7,18464
URIN D.S.,62,18447
VANDAZOLE,17,18408
AMICAR,1,18195
FORTAZ IN ISO-OSMOTIC DEXTROSE,4,18129
STREPTOMYCIN SULFATE,6,18043
TILIA FE,34,18028
BENZACLIN,3,17843
SARAFEM,4,17828
HEATHER,75,17500
CYSTAGON,5,17443
PIMTREA,45,17396
PONSTEL,1,17244
VICOPROFEN,5,17234
PAROMOMYCIN SULFATE,3,17026
ATROVENT,10,17013
ACANYA,3,16970
GIAZO,3,16907
SUCLEAR,13,16805
OMECLAMOX-PAK,1,16728
METHADOSE,23,16696
MINITRAN,10,16661
ALCOHOL SWAB,242,16646
KHEDEZLA,2,16636
NOVOFINE PLUS,22,16580
NAFTIFINE HCL,5,16460
CEREBYX,1,16442
METOZOLV ODT,1,16408
ACULAR LS,7,16350
XODOL 7.5-300,1,16339
PRENATAL VITAMIN PLUS LOW IRON,105,16328
ALMOTRIPTAN MALATE,3,16289
RENAL CAPS,34,16279
SKLICE,2,16189
KLOR-CON-EF,41,16133
DESOGESTREL-ETHINYL ESTRADIOL,78,16109
PRIMSOL,4,16108
MUSTARGEN,2,16024
NEOMYCIN-BACITRACIN-POLY-HC,24,15823
SFROWASA,1,15798
HEPATAMINE,2,15781
SPRIX,1,15572
VOLTAREN-XR,4,15559
PAROEX,94,15548
ATRALIN,3,15529
SULFATRIM,16,15518
ZIANA,2,15503
METIPRANOLOL,28,15358
ALPRAZOLAM INTENSOL,8,15264
VELIVET,51,15195
SINEMET 10-100,9,15173
RETIN-A MICRO,3,15144
FELDENE,5,15116
MYORISAN,4,14913
MYZILRA,59,14839
MEROPENEM-0.9% NACL,5,14565
NEOMYCIN-BACITRACIN-POLYMYXIN,27,14524
SODIUM PHOSPHATE,5,14453
EXTINA,2,14410
COLOCORT,10,14385
VINORELBINE TARTRATE,6,14380
LEVONEST,62,14278
ZENCHENT FE,17,14247
EMOQUETTE,63,14161
ZOVIA 1-50E,46,14119
FURADANTIN,1,14098
SURE-PREP ALCOHOL PREP PADS,32,14090
PERIOGARD,102,14025
PEG-3350 WITH FLAVOR PACKS,38,14013
PENICILLIN GK-ISO-OSM DEXTROSE,2,13670
VANCOMYCIN-D5W,29,13610
SODIUM ACETATE,8,12981
TEKAMLO,5,12848
HECORIA,4,12798
SRONYX,59,12724
CALCITRENE,1,12615
CALAN,4,12534
MARLISSA,57,12504
LINEZOLID-0.9% NACL,4,12493
PROVERA,22,12282
CLORPRES,10,12246
ANAPROX DS,2,12234
TOLAZAMIDE,11,11997
RAZADYNE,4,11910
MERREM,2,11783
ALTAVERA,53,11752
PHENYTOIN SODIUM,4,11620
NIKKI,19,11603
SURE-JECT INSULIN SYRINGE,29,11584
ZEBUTAL,7,11499
CORTISPORIN-TC,6,11449
PENLAC,3,11416
XERESE,1,11302
QUASENSE,9,11273
OMNIPRED,5,11051
POTASSIUM PHOSPHATE,6,11041
HALDOL DECANOATE 50,6,11014
EPIPEN JR 2-PAK,2,10840
VIROPTIC,1,10791
DEXAMETHASONE INTENSOL,7,10671
K-PHOS NEUTRAL,19,10560
GRIS-PEG,3,10481
TRIANEX,1,10418
BETAMETHASONE ACETATE-SOD PHOS,11,10408
NEUT,3,10361
CLINDAMYCIN PALMITATE HCL,4,10349
SHAROBEL,50,10285
CEFTIBUTEN,3,10270
XOPENEX CONCENTRATE,2,10242
RENO CAPS,37,10226
NORETHINDRON-ETHINYL ESTRADIOL,38,10215
POLYCIN,35,10045
TRELSTAR DEPOT,1,9954
URIBEL,4,9810
MAVIK,11,9736
CISPLATIN,14,9645
DERMASORB TA,1,9576
CRINONE,5,9572
LOMEDIA 24 FE,11,9414
OLUX-E,1,9411
CARISOPRODOL-ASPIRIN-CODEINE,3,9405
LEVULAN,2,9394
ALDARA,1,9328
VFEND IV,4,9300
PROCARDIA,3,9243
MINI ULTRA-THIN II,24,9224
GENTAMICIN SULFATE IN NS,28,9116
ISOPTO CARPINE,8,9091
ENSKYCE,59,9087
NABI-HB,1,9060
METHYLPHENIDATE SR,10,9057
MAXIDEX,7,8939
UNASYN,6,8841
CARISOPRODOL COMPOUND-CODEINE,3,8775
EPROSARTAN MESYLATE,8,8640
RIFAMATE,1,8599
PREVIDENT 5000 ENAMEL PROTECT,37,8426
HYDROMET,14,8394
POTASSIUM ACETATE,7,8366
ELOCON,6,8343
RIFADIN,1,8254
LOPROX,1,8213
INFUMORPH,1,8167
LEVETIRACETAM-NACL,2,8091
PENTAM 300,5,8029
PHENTOLAMINE MESYLATE,2,8010
ALCOHOL PREP SWABS,78,7967
IXIARO,2,7957
MACROBID,2,7945
LOMUSTINE,7,7895
CEFAZOLIN,7,7886
OXACILLIN,2,7871
STIMATE,1,7830
SE-NATAL 19,26,7818
LACLOTION,23,7729
GAVILYTE-H AND BISACODYL,9,7535
CORZIDE,4,7521
ARANELLE,21,7449
QUESTRAN,4,7408
CYCLOGYL,6,7381
UREA,4,7272
ALCOHOL WIPES,44,7257
DOXORUBICIN HCL,6,7202
SULFAMYLON,5,7182
ORTHO TRI-CYCLEN,14,7103
CLEOCIN PHOSPHATE,5,7048
FLAGYL,1,7011
LOPID,3,6985
ZITHRANOL,1,6951
WYMZYA FE,9,6896
VIBATIV,1,6884
MICROZIDE,14,6863
ZEBETA,3,6815
EFFER-K,31,6795
METROCREAM,1,6673
IBUDONE,5,6609
GLYNASE,4,6609
UROGESIC-BLUE,4,6525
TENORETIC 100,5,6518
REA LO 40,4,6498
SELECT-OB + DHA,3,6474
LESSINA,32,6474
RABAVERT,1,6444
FLONASE,5,6438
SILVADENE,9,6388
COLY-MYCIN S,10,6387
MYAMBUTOL,8,6364
FOSCARNET SODIUM,2,6363
PROMETHAZINE-CODEINE,40,6352
GILDAGIA,19,6324
CEFAZOLIN SODIUM-DEXTROSE,13,6297
FLUDARABINE PHOSPHATE,1,6271
POTASSIUM CITRATE-CITRIC ACID,5,6200
VITAFOL-OB+DHA,5,6155
NORETHIN-ETH ESTRA FERROUS FUM,22,6135
SYNALGOS-DC,4,6027
RAGWITEK,2,6019
PERSANTINE,4,6009
DOLOPHINE HCL,3,5968
AVELOX IV,4,5884
IPOL,9,5874
AMINO ACIDS,6,5675
PRECOSE,4,5658
MAGNESIUM SULFATE-D5W,3,5637
NITROMIST,1,5616
AMOX TR-POTASSIUM CLAVULANATE,20,5534
DEBLITANE,25,5516
OMNIPOD,1,5512
SYNJARDY,1,5486
AUTOSHIELD PEN NEEDLE,8,5453
XYLOCAINE-MPF,23,5362
COLYTE WITH FLAVOR PACKETS,14,5322
CLINDAMYCIN PHOSPHATE-D5W,6,5321
PREGNYL,2,5289
SODIUM SULFACETAMIDE,5,5280
LOTRISONE,3,5162
LOESTRIN FE,4,5105
CITRANATAL 90 DHA,4,4945
DEXTROSE 5%-1/2NS-KCL,6,4938
PCE,1,4927
ZITHROMAX TRI-PAK,1,4914
EC-NAPROSYN,3,4865
VITAFOL-ONE,3,4840
FLEXBUMIN,1,4809
ASPIRIN-CAFFEINE-DIHYDROCODEIN,2,4780
MEGACE,3,4766
REPREXAIN,1,4762
IMOVAX RABIES VACCINE,1,4750
PIRMELLA,39,4698
PRENATE DHA,3,4674
MIRCETTE,3,4651
QNASL CHILDREN,1,4620
NEO-SYNALAR,1,4617
DIHYDROCODEIN-ACETAMINOPH-CAFF,1,4593
PROPARACAINE HCL,5,4589
KURVELO,37,4561
ADRUCIL,5,4497
HYDROCODONE-CHLORPHENIRAMNE ER,3,4425
CONDYLOX,1,4411
MITOXANTRONE HCL,1,4397
BROMFED DM,1,4386
LUVOX CR,1,4352
ORTHO MICRONOR,8,4338
ORTHO-NOVUM,7,4230
PNV-DHA,7,4215
K-PHOS NO.2,5,4207
POTASSIUM BICARBONATE,27,4203
BRIELLYN,12,4149
CAZIANT,14,4147
TETANUS TOXOID ADSORBED,5,4095
DEXTROSE 5%-0.2% NACL,4,4071
NAPROSYN,2,4059
KETEK,1,4024
ACCURETIC,4,3963
BETAGAN,5,3954
ROBINUL FORTE,1,3905
PHILITH,12,3884
AMTURNIDE,2,3881
ALPROSTADIL,1,3874
CYTRA-K,2,3754
DESOGESTR-ETH ESTRAD ETH ESTRA,8,3743
ROSADAN,2,3718
UMECTA,1,3701
CARNITOR SF,2,3661
NIZORAL,5,3639
SURE-FINE PEN NEEDLES,8,3591
USTELL,2,3580
DIASTAT,1,3564
WERA,13,3539
PRIMAQUINE,3,3514
CLEOCIN,1,3503
WEBCOL,50,3501
URELLE,1,3445
INFANRIX DTAP,6,3432
MAXIPIME,6,3420
ROCEPHIN,3,3417
VIRT-PN DHA,5,3398
RELENZA,3,3386
MARGESIC,3,3369
LEENA,11,3368
ETOPOSIDE,5,3332
TERAZOL 7,4,3326
DEXTROSE 5%-NS-KCL,4,3253
PRODIGY INSULIN SYRINGE,12,3222
PRIFTIN,4,3197
DESVENLAFAXINE FUMARATE ER,2,3190
CAPACET,7,3132
PRENATE MINI,2,3124
JENCYCLA,25,3068
ACYCLOVIR SODIUM,3,3068
KABIVEN,1,3030
SODIUM THIOSULFATE,1,2955
QUESTRAN LIGHT,1,2952
1ST TIER UNIFINE PENTIPS PLUS,9,2901
ZMAX,1,2900
TRICITRATES,5,2884
XYLON 10,1,2863
ALKERAN,1,2841
ULTILET INSULIN SYRINGE,12,2818
UTIRA-C,1,2737
DIPROLENE,1,2702
PARAFON FORTE DSC,1,2695
TPN ELECTROLYTES,2,2675
VIDEX,1,2634
EMLA,2,2587
LARIN,10,2578
NOVAREL,1,2572
ACETASOL HC,2,2562
FLUVASTATIN ER,1,2556
CEFIXIME,1,2554
PROMETHAZINE-DM,27,2500
SE-TAN DHA,3,2463
ORACIT,7,2447
ANTIPYRINE-BENZOCAINE,11,2439
KLOR-CON SPRINKLE,5,2419
VITAMEDMD ONE RX,2,2417
PREDNISONE INTENSOL,1,2343
CENTANY AT,1,2317
RELNATE DHA,1,2296
HYDROCODONE-HOMATROPINE MBR,6,2294
POTASSIUM CHLORIDE-NACL,4,2284
VITAFOL ULTRA,2,2266
HYOSCYAMINE SULFATE ER,3,2264
BELVIQ,1,2250
TEXACORT,1,2233
DIPROLENE AF,1,2214
FLUCONAZOLE IN DEXTROSE,2,2202
MULTIVITAMIN WITH FLUORIDE,13,2179
TRICARE,6,2176
TENCON,4,2172
TERUMO INSULIN SYRINGE,11,2155
HOMATROPAIRE,4,2153
TRIPHROCAPS,7,2135
GYNAZOLE 1,2,2111
MESNEX,1,2104
ZATEAN-PN PLUS,3,2101
BACTRIM DS,1,2070
BUPROBAN,5,2062
LEVSIN,1,2054
CURITY ALCOHOL PREPS,40,2033
